TARGET_ID,PROVABGS_LOGMSTAR_BF,FLUX_G_DERED,FLUX_R_DERED,FLUX_Z_DERED,FLUX_W1_DERED,FLUX_W2_DERED,Z
39633308157478915,10.500967025756836,19.212074,45.13377,79.28548,78.043846,53.71344,0.14407987752402823
39633308157480004,10.974613189697266,6.2425556,16.900322,33.08236,45.422672,34.741997,0.3209740381083538
39633308132312138,9.272296905517578,6.113416,8.44549,9.7148485,5.4574795,5.0597115,0.1583313860192689
39633297378118045,10.75231647491455,8.302839,27.163818,53.135258,53.779152,36.588226,0.20600316562803023
39633308149090270,11.29617691040039,4.5639358,21.030512,46.364967,68.01683,43.185856,0.349271936010838
39633311693277554,11.016884803771973,4.8104773,11.421813,20.966623,35.21487,29.485092,0.28322774344822227
39633297378116683,9.882328987121582,7.3274136,11.988475,14.630157,11.166392,5.520611,0.206576405721054
39633311697471049,9.389387130737305,14.417834,19.897991,25.083733,17.10572,10.121181,0.10057411133757993
39633297378116716,9.86030101776123,11.351441,21.304434,33.81165,23.629045,13.350072,0.10540160483182613
39633308132312009,11.154909133911133,7.2176604,24.244621,46.716125,57.283684,35.24977,0.29995268424677207
39633297378116461,11.043334007263184,3.5024672,10.964809,21.179718,31.445976,23.422148,0.3610151733707899
39633308149089060,10.935283660888672,5.2079144,13.061406,27.538862,53.889236,51.532894,0.20929359931959496
39633308149088889,10.49445629119873,13.107254,23.277927,36.506714,34.90351,30.024902,0.17255461361199423
39633304583932451,10.557520866394043,4.4744153,12.315351,25.148388,35.493225,26.785782,0.23172894007557807
39633304588124334,9.867878913879395,10.613935,17.300383,22.873533,15.21822,13.010233,0.20180516383710048
39633308132311487,9.801924705505371,9.430468,15.573474,21.435486,10.260868,8.942918,0.14423496889318713
39633308132311489,10.15810489654541,2.4191837,7.698785,14.253769,13.980069,9.176018,0.19657029203978887
39633297378116632,11.373067855834961,1.867832,9.923397,30.114143,84.82106,45.152233,0.5711584857908023
39633286401622462,10.524928092956543,7.4601703,14.359831,21.664762,19.867353,13.931844,0.23413998657929666
39633290080029494,11.499252319335938,2.3604186,13.513242,38.18193,85.58568,50.14831,0.4751569496563614
39633286401623233,10.429340362548828,5.202817,10.836524,17.380108,16.797297,13.752626,0.23933083175477096
39633300993606051,9.539286613464355,18.3075,30.096611,39.73375,22.910463,12.365363,0.06606961494520266
39633308132312399,11.16783618927002,7.328716,28.565075,57.26654,68.082306,43.778633,0.2778743998658734
39633308132312620,10.492593765258789,8.594969,25.5307,54.855537,74.78617,54.09514,0.1580487702790193
