TARGET_ID,PROVABGS_LOGMSTAR_BF,FLUX_G_DERED,FLUX_R_DERED,FLUX_Z_DERED,FLUX_W1_DERED,FLUX_W2_DERED,Z
39633136560115283,9.564186096191406,7.5513372,11.18395,14.124018,9.084591,6.2688484,0.15943056544907347
39633145363959592,11.007079124450684,12.63784,29.824469,51.96738,64.58768,65.9143,0.2698936468038358
39633140972519701,10.940247535705566,4.4011736,18.167282,37.021072,44.92389,29.851366,0.2837195091567047
39633140947355055,10.699427604675293,6.595746,16.867407,32.41375,40.050785,29.961512,0.23286634980593454
39633127701744515,10.565690040588379,26.136024,54.133144,92.76119,98.99823,77.14052,0.133606233426205
39633154062943273,10.786977767944336,4.032625,10.732924,20.076721,25.055422,23.000862,0.3485736902360321
39633132151899988,10.737024307250977,9.973346,30.611967,63.05342,62.582153,42.202076,0.18477755519221675
39633140947356988,10.445995330810547,4.5864305,8.418471,12.321476,10.818608,8.193911,0.2783935084082475
39633140947356982,11.563394546508789,17.27002,70.49776,149.68646,189.89018,134.51283,0.28109437590588554
39633140947356909,10.979737281799316,5.1692514,13.291134,28.26679,42.68402,44.859047,0.2826805460682437
39633132151899692,11.570008277893066,62.83373,198.45862,387.457,401.37598,281.73853,0.18627933687639306
39633145368152702,11.14293384552002,2.8556776,7.849931,14.095199,24.554401,20.48777,0.49208315008621306
39633140968326447,10.906607627868652,7.3100896,21.98422,42.83548,47.453083,36.152008,0.26222223561014896
39633140968326612,10.611302375793457,4.902425,13.222224,24.197575,29.813261,26.265102,0.2622488694859273
39633140951547993,11.08967399597168,3.1659365,16.101757,37.48761,60.70726,39.755188,0.40335646146440635
39633145368152669,11.422942161560059,15.244035,38.532063,74.936325,110.980255,111.76869,0.2894057699040929
39633132151899740,10.451678276062012,5.6821074,17.563972,33.3235,36.066593,26.593956,0.18443806234312043
39633162686434990,10.768929481506348,8.70778,21.6638,38.1969,48.211582,36.716724,0.24862936819535142
39633136585279515,10.658714294433594,6.1356277,15.386701,28.306213,30.16449,20.28292,0.229202190828995
39633136560115508,9.874082565307617,5.6830087,12.575594,21.321287,13.993026,8.996426,0.1379536227728843
39633136560115347,10.29801082611084,5.3869257,8.965579,12.235836,9.437864,8.861286,0.3130961216944979
39633132135121676,11.237905502319336,15.20779,45.311386,91.59585,116.93031,88.85675,0.24128655936963053
39633162678044555,10.786736488342285,6.2124925,22.06581,46.24996,58.131084,41.960335,0.21582416086750988
39633162678044480,10.642467498779297,18.008646,35.062122,57.587883,52.51502,36.836296,0.1620564015721476
